date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,5.9,CONSOLIDATION,8.06,yellow,3,3
2026-05-12,5.9,CONSOLIDATION,8.06,yellow,3,3
2026-05-12,5.9,CONSOLIDATION,8.06,yellow,3,3
2026-05-12,5.9,CONSOLIDATION,8.06,yellow,3,3
2026-05-12,5.9,CONSOLIDATION,8.06,yellow,3,3
2026-05-13,6.0,CONSOLIDATION,8.06,yellow,3,3
2026-05-13,5.9,CONSOLIDATION,8.06,yellow,3,3
2026-05-13,5.9,CONSOLIDATION,8.06,yellow,3,3
2026-05-18,5.8,RISK WATCH,8.315,yellow,3,3
2026-05-25,5.8,CONSOLIDATION,8.17,yellow,3,3
2026-06-01,5.9,CONSOLIDATION,9.25,yellow,3,3
2026-06-08,5.6,RISK WATCH,7.49,yellow,3,3
2026-06-15,5.9,RISK WATCH,7.33,yellow,3,2
