date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.1,RISK WATCH,15.9,yellow,3,1
2026-05-12,6.1,RISK WATCH,15.9,yellow,3,1
2026-05-12,6.1,RISK WATCH,15.9,yellow,3,1
2026-05-12,6.1,RISK WATCH,15.9,yellow,3,1
2026-05-12,6.1,RISK WATCH,15.9,yellow,3,1
2026-05-13,6.1,RISK WATCH,15.9,yellow,3,1
2026-05-13,6.1,RISK WATCH,15.9,yellow,3,1
2026-05-13,6.1,RISK WATCH,15.9,yellow,3,1
2026-05-18,6.0,RISK WATCH,15.505,yellow,3,2
2026-05-25,6.1,RISK WATCH,15.62,yellow,3,2
2026-06-01,6.0,CONSOLIDATION,18.58,yellow,3,1
2026-06-08,6.1,CONSOLIDATION,16.5,yellow,3,1
