date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.2,RISK WATCH,23.26,yellow,3,2
2026-05-12,6.2,RISK WATCH,23.26,yellow,3,2
2026-05-12,6.3,RISK WATCH,23.26,yellow,3,2
2026-05-12,6.3,RISK WATCH,23.26,yellow,3,2
2026-05-12,6.3,RISK WATCH,23.26,yellow,3,2
2026-05-13,6.3,RISK WATCH,23.26,yellow,3,2
2026-05-13,6.3,RISK WATCH,23.26,yellow,3,2
2026-05-13,6.3,RISK WATCH,23.26,yellow,3,2
2026-05-18,6.3,RISK WATCH,22.655,yellow,3,3
2026-05-25,6.2,RISK WATCH,23.16,yellow,3,3
2026-06-01,6.2,CONSOLIDATION,27.74,yellow,3,2
2026-06-08,6.3,RISK WATCH,24.1,yellow,3,2
2026-06-15,6.4,CONSOLIDATION,25.05,yellow,3,1
2026-06-22,6.2,RISK WATCH,23.985,yellow,3,3
2026-06-29,6.3,CONSOLIDATION,27.705,yellow,3,2
