date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,6.3,CONSOLIDATION,106.01,yellow,3,2
2026-05-12,6.3,CONSOLIDATION,106.01,yellow,3,2
2026-05-12,6.3,CONSOLIDATION,106.01,yellow,3,2
2026-05-12,6.3,CONSOLIDATION,106.01,yellow,3,2
2026-05-12,6.3,CONSOLIDATION,106.01,yellow,3,2
2026-05-13,6.3,CONSOLIDATION,106.01,yellow,3,2
2026-05-13,6.3,CONSOLIDATION,106.01,yellow,3,2
2026-05-13,6.3,CONSOLIDATION,106.01,yellow,3,2
2026-05-18,6.2,CONSOLIDATION,113.94,yellow,3,3
2026-05-25,6.1,CONSOLIDATION,106.61,yellow,3,3
2026-06-01,6.2,CONSOLIDATION,117.97,yellow,3,3
2026-06-08,6.3,CONFLUENCE,117.96,yellow,3,3
2026-06-15,6.3,CONSOLIDATION,127.06,yellow,3,2
2026-06-22,6.3,CONSOLIDATION,127.25,yellow,3,3
