date,score,signal,price,score_light,bull_count,bear_count
2026-05-12,4.7,CONSOLIDATION,20.06,yellow,3,3
2026-05-12,4.7,CONSOLIDATION,20.06,yellow,3,3
2026-05-12,4.7,CONSOLIDATION,20.06,yellow,3,3
2026-05-12,4.7,CONSOLIDATION,20.06,yellow,3,3
2026-05-12,4.7,CONSOLIDATION,20.06,yellow,3,3
2026-05-13,4.7,CONSOLIDATION,20.06,yellow,3,3
2026-05-13,4.7,CONSOLIDATION,20.06,yellow,3,3
2026-05-13,4.7,CONSOLIDATION,20.06,yellow,3,3
2026-05-18,4.7,CONSOLIDATION,18.61,yellow,3,3
2026-05-25,4.9,CONSOLIDATION,21.97,yellow,3,3
